Designator,Mid X,Mid Y,Rotation,Layer
C1,129.5,-67.495,0.0,top
C10,159.5,-88.27,180.0,top
C13,129.0,-121.27,0.0,top
C14,118.5,-129.27,0.0,top
C17,123.27,-76.0,90.0,top
C18,127.77,-89.5,90.0,top
C2,130.5,-79.72,0.0,top
C21,160.5,-122.77,0.0,top
C22,170.5,-130.77,0.0,top
C3,145.0,-124.27,0.0,top
C4,145.5,-140.23,0.0,top
C5,129.5,-105.27,180.0,top
C6,118.0,-105.77,0.0,top
C7,160.5,-104.77,0.0,top
C8,173.0,-104.77,0.0,top
C9,166.262383,-78.27,0.0,top
D1,146.5,-69.73,90.0,top
D10,155.23,-105.0,0.0,top
D11,166.73,-105.0,0.0,top
D12,179.73,-105.0,0.0,top
D13,172.73,-78.5,0.0,top
D14,165.23,-87.0,0.0,top
D15,155.23,-95.5,0.0,top
D16,134.73,-116.0,0.0,top
D17,123.73,-123.29,0.0,top
D18,112.995,-132.0,0.0,top
D2,145.73,-80.5,0.0,top
D21,121.23,-70.5,0.0,top
D22,125.27,-82.5,0.0,top
D23,135.495,-94.5,0.0,top
D26,155.995,-116.0,0.0,top
D27,166.995,-124.0,0.0,top
D28,176.23,-134.5,0.0,top
D3,145.73,-93.0,0.0,top
D4,145.23,-116.0,0.0,top
D5,145.23,-133.0,0.0,top
D6,145.23,-148.0,0.0,top
D7,134.73,-105.5,0.0,top
D8,124.23,-105.5,0.0,top
D9,111.73,-106.0,0.0,top
J1,156.0,-64.06,0.0,top
Q1,136.03,-68.45,0.0,top
Q10,163.5,-97.0,0.0,top
Q11,171.46,-97.0,0.0,top
Q12,179.46,-97.0,0.0,top
Q13,163.96,-70.5,0.0,top
Q14,158.99,-77.95,0.0,top
Q15,153.96,-86.0,0.0,top
Q16,126.46,-115.5,0.0,top
Q17,115.46,-121.0,0.0,top
Q18,106.04,-128.0,0.0,top
Q2,136.755,-78.45,0.0,top
Q21,110.46,-76.5,0.0,top
Q22,110.46,-82.5,0.0,top
Q23,109.96,-90.0,0.0,top
Q26,164.99,-116.45,0.0,top
Q27,174.46,-122.5,0.0,top
Q28,183.49,-129.45,0.0,top
Q3,136.96,-89.0,0.0,top
Q4,135.96,-125.0,0.0,top
Q5,135.96,-134.5,0.0,top
Q6,135.46,-148.0,0.0,top
Q7,127.99,-97.95,0.0,top
Q8,119.96,-98.0,0.0,top
Q9,111.04,-98.0,0.0,top
R1,136.73,-63.5,180.0,top
R10,163.69,-92.5,0.0,top
R11,173.31,-92.5,0.0,top
R12,183.31,-92.5,0.0,top
R13,164.81,-65.5,0.0,top
R14,159.81,-73.5,0.0,top
R15,155.45,-81.71,0.0,top
R16,126.81,-110.0,0.0,top
R17,116.0,-115.5,0.0,top
R18,106.31,-123.0,0.0,top
R2,136.955,-74.0,0.0,top
R21,116.5,-70.81,270.0,top
R22,116.5,-80.81,90.0,top
R23,110.19,-86.0,0.0,top
R26,165.19,-111.0,0.0,top
R27,174.19,-117.0,0.0,top
R28,183.5,-124.0,0.0,top
R3,136.69,-85.0,0.0,top
R4,135.69,-121.0,0.0,top
R5,135.71,-129.0,0.0,top
R6,136.31,-142.5,0.0,top
R7,127.19,-93.5,0.0,top
R8,117.31,-93.5,0.0,top
R9,107.31,-93.5,0.0,top
SW1,146.25,-60.75,0.0,top
